"ds","y"
"1874-04-11","13"
"1874-04-18","9"
"1874-04-18","9"
"1874-04-18","37"
"1874-04-18","54"
"1874-04-18","13"
"1874-04-25","7"
"1874-04-25","2"
"1874-04-25","47"
"1874-04-25","9"
"1874-04-25","38"
"1874-05-02","34"
"1874-05-02","3"
"1874-05-02","14"
"1874-05-02","19"
"1874-05-02","20"
"1874-05-09","14"
"1874-05-09","11"
"1874-05-09","22"
"1874-05-09","26"
"1874-05-09","32"
"1874-05-16","17"
"1874-05-16","8"
"1874-05-16","4"
"1874-05-16","19"
"1874-05-16","32"
"1874-05-23","7"
"1874-05-23","53"
"1874-05-23","27"
"1874-05-23","2"
"1874-05-23","7"
"1874-05-30","2"
"1874-05-30","4"
"1874-05-30","32"
"1874-05-30","12"
"1874-05-30","44"
"1874-06-06","28"
"1874-06-06","38"
"1874-06-06","14"
"1874-06-06","22"
"1874-06-06","6"
"1874-06-13","6"
"1874-06-13","5"
"1874-06-13","17"
"1874-06-13","34"
"1874-06-13","6"
"1874-06-20","6"
"1874-06-20","14"
"1874-06-20","53"
"1874-06-20","3"
"1874-06-20","3"
"1874-06-27","1"
"1874-06-27","16"
"1874-06-27","5"
"1874-06-27","50"
"1874-06-27","17"
"1874-07-04","52"
"1874-07-04","2"
"1874-07-04","15"
"1874-07-04","38"
"1874-07-04","33"
"1874-07-11","23"
"1874-07-11","27"
"1874-07-11","5"
"1874-07-11","25"
"1874-07-11","17"
"1874-07-18","13"
"1874-07-18","10"
"1874-07-18","9"
"1874-07-18","8"
"1874-07-18","3"
"1874-07-25","12"
"1874-07-25","25"
"1874-07-25","20"
"1874-07-25","60"
"1874-07-25","21"
"1874-08-01","29"
"1874-08-01","10"
"1874-08-01","9"
"1874-08-01","57"
"1874-08-01","12"
"1874-08-08","34"
"1874-08-08","7"
"1874-08-08","1"
"1874-08-08","4"
"1874-08-08","6"
"1874-08-15","13"
"1874-08-15","7"
"1874-08-15","54"
"1874-08-15","6"
"1874-08-15","17"
"1874-08-22","10"
"1874-08-22","4"
"1874-08-22","10"
"1874-08-22","11"
"1874-08-22","7"
"1874-08-29","4"
"1874-08-29","3"
"1874-08-29","1"
"1874-08-29","14"
"1874-08-29","22"
"1874-09-05","6"
"1874-09-05","1"
"1874-09-05","32"
"1874-09-05","21"
"1874-09-05","9"
"1874-09-12","45"
"1874-09-12","30"
"1874-09-12","4"
"1874-09-12","19"
"1874-09-12","53"
"1874-09-19","25"
"1874-09-19","9"
"1874-09-19","9"
"1874-09-19","50"
